variant,threads,runs,mean_seconds,median_seconds,min_seconds,max_seconds,stdev_seconds,mean_checksum,speedup_vs_original
original,1,7,0.015470,0.013942,0.013550,0.021578,0.002878,267569559.394944518805,1.000000
parallel,2,7,0.009699,0.010042,0.008455,0.010670,0.000895,267569559.394944518805,1.595124
