variant,threads,run,chunk,elapsed_seconds,image
runtime_dynamic,1,3,1,9.749900,results/images/runtime_dynamic_t1_run3.png
runtime_dynamic,1,4,1,9.779963,results/images/runtime_dynamic_t1_run4.png
runtime_dynamic,1,5,1,9.776993,results/images/runtime_dynamic_t1_run5.png
runtime_dynamic,4,1,1,2.475853,results/images/runtime_dynamic_t4_run1.png
runtime_dynamic,4,2,1,2.492365,results/images/runtime_dynamic_t4_run2.png
runtime_dynamic,4,3,1,2.489833,results/images/runtime_dynamic_t4_run3.png
runtime_dynamic,4,4,1,2.492175,results/images/runtime_dynamic_t4_run4.png
runtime_dynamic,4,5,1,2.491038,results/images/runtime_dynamic_t4_run5.png
runtime_dynamic,8,1,1,1.274691,results/images/runtime_dynamic_t8_run1.png
runtime_dynamic,8,2,1,1.274508,results/images/runtime_dynamic_t8_run2.png
runtime_dynamic,8,3,1,1.275215,results/images/runtime_dynamic_t8_run3.png
runtime_dynamic,8,4,1,1.275402,results/images/runtime_dynamic_t8_run4.png
runtime_dynamic,8,5,1,1.275045,results/images/runtime_dynamic_t8_run5.png
runtime_dynamic,12,1,1,0.850221,results/images/runtime_dynamic_t12_run1.png
runtime_dynamic,12,2,1,0.850262,results/images/runtime_dynamic_t12_run2.png
runtime_dynamic,12,3,1,0.852606,results/images/runtime_dynamic_t12_run3.png
runtime_dynamic,12,4,1,0.865770,results/images/runtime_dynamic_t12_run4.png
runtime_dynamic,12,5,1,0.865435,results/images/runtime_dynamic_t12_run5.png
runtime_guided,1,1,1,9.780579,results/images/runtime_guided_t1_run1.png
runtime_guided,1,2,1,9.780077,results/images/runtime_guided_t1_run2.png
runtime_guided,1,3,1,9.781550,results/images/runtime_guided_t1_run3.png
runtime_guided,1,4,1,9.778699,results/images/runtime_guided_t1_run4.png
runtime_guided,1,5,1,9.786582,results/images/runtime_guided_t1_run5.png
runtime_guided,4,1,1,2.927079,results/images/runtime_guided_t4_run1.png
runtime_guided,4,2,1,2.962918,results/images/runtime_guided_t4_run2.png
runtime_guided,4,3,1,2.955799,results/images/runtime_guided_t4_run3.png
runtime_guided,4,4,1,2.958776,results/images/runtime_guided_t4_run4.png
runtime_guided,4,5,1,2.965714,results/images/runtime_guided_t4_run5.png
runtime_guided,8,1,1,1.550834,results/images/runtime_guided_t8_run1.png
runtime_guided,8,2,1,1.552330,results/images/runtime_guided_t8_run2.png
runtime_guided,8,3,1,1.558989,results/images/runtime_guided_t8_run3.png
runtime_guided,8,4,1,1.550612,results/images/runtime_guided_t8_run4.png
runtime_guided,8,5,1,1.546659,results/images/runtime_guided_t8_run5.png
runtime_guided,12,1,1,1.031994,results/images/runtime_guided_t12_run1.png
runtime_guided,12,2,1,1.032929,results/images/runtime_guided_t12_run2.png
runtime_guided,12,3,1,1.031859,results/images/runtime_guided_t12_run3.png
runtime_guided,12,4,1,1.033559,results/images/runtime_guided_t12_run4.png
runtime_guided,12,5,1,1.033252,results/images/runtime_guided_t12_run5.png
