size,intrinsics_mean_seconds,baseline_mean_seconds,auto_mean_seconds,omp_mean_seconds,speedup_vs_baseline,speedup_vs_auto,speedup_vs_omp
256,0.0657692946,0.338855413,0.0634963828,,5.152182565753107,0.9654411406747854,
512,0.1367901026,0.6750018118,0.1330945074,,4.934580784501875,0.9729834605738501,
1024,0.2641042506,1.3498509304,0.25891773360000003,,5.111053409149485,0.9803618571521774,
2048,0.5299815868,2.6856494148,0.510449344,0.5092446535999999,5.067439099187965,0.9631454313008597,0.9608723515750641
4096,1.8085083298,5.3831642004,1.8074228684000002,,2.9765769455954434,0.999399802930341,
8192,3.6164673184000002,10.781905607599999,3.6096136582,,2.981336386684157,0.998104874288472,
