variant,size,repetitions,run,elapsed_seconds,checksum,expected_checksum,sample0,samplemid,samplelast,expected_value,status
intrinsics_float,256,64,1,0.000003000,2304.000000000,2304.000000000,9.000000000,9.000000000,9.000000000,9.000000000,ok
intrinsics_float,256,64,2,0.000003000,2304.000000000,2304.000000000,9.000000000,9.000000000,9.000000000,9.000000000,ok
intrinsics_float,2048,64,1,0.000020000,18432.000000000,18432.000000000,9.000000000,9.000000000,9.000000000,9.000000000,ok
intrinsics_float,2048,64,2,0.000020000,18432.000000000,18432.000000000,9.000000000,9.000000000,9.000000000,9.000000000,ok
