variant,size,repetitions,metric,value,unit
intrinsics_float,2048,1000000,cycles:u,1814819267,
intrinsics_float,2048,1000000,instructions:u,3586215203,
intrinsics_float,2048,1000000,r0410:u,1023316009,
intrinsics_float,2048,1000000,r1010:u,1026914157,
intrinsics_float,2048,1000000,r2010:u,2477,
intrinsics_float,2048,1000000,r4010:u,1023249190,
intrinsics_float,8192,1000000,cycles:u,11034840066,
intrinsics_float,8192,1000000,instructions:u,14342594916,
intrinsics_float,8192,1000000,r0410:u,4096139664,
intrinsics_float,8192,1000000,r1010:u,4096328977,
intrinsics_float,8192,1000000,r2010:u,9856,
intrinsics_float,8192,1000000,r4010:u,4096712206,
