size,baseline_mean_seconds,auto_mean_seconds,speedup
256,0.338855413,0.0634963828,5.336609709994377
512,0.6750018118,0.1330945074,5.071597806597389
1024,1.3498509304,0.25891773360000003,5.213435602234083
2048,2.6856494148,0.510449344,5.261343650193818
4096,5.3831642004,1.8074228684000002,2.9783645512714925
8192,10.781905607599999,3.6096136582,2.986997121729807
