variant,size,repetitions,run,elapsed_seconds,checksum,expected_checksum,sample0,samplemid,samplelast,expected_value,status
baseline,256,1000000,1,0.339063491,32000256.000000000,32000256.000000000,125001.000000000,125001.000000000,125001.000000000,125001.000000000,ok
baseline,256,1000000,2,0.338183507,32000256.000000000,32000256.000000000,125001.000000000,125001.000000000,125001.000000000,125001.000000000,ok
baseline,256,1000000,3,0.339541187,32000256.000000000,32000256.000000000,125001.000000000,125001.000000000,125001.000000000,125001.000000000,ok
baseline,256,1000000,4,0.339452577,32000256.000000000,32000256.000000000,125001.000000000,125001.000000000,125001.000000000,125001.000000000,ok
baseline,256,1000000,5,0.338036303,32000256.000000000,32000256.000000000,125001.000000000,125001.000000000,125001.000000000,125001.000000000,ok
baseline,512,1000000,1,0.673060402,64000512.000000000,64000512.000000000,125001.000000000,125001.000000000,125001.000000000,125001.000000000,ok
baseline,512,1000000,2,0.677008142,64000512.000000000,64000512.000000000,125001.000000000,125001.000000000,125001.000000000,125001.000000000,ok
baseline,512,1000000,3,0.672931767,64000512.000000000,64000512.000000000,125001.000000000,125001.000000000,125001.000000000,125001.000000000,ok
baseline,512,1000000,4,0.678973718,64000512.000000000,64000512.000000000,125001.000000000,125001.000000000,125001.000000000,125001.000000000,ok
baseline,512,1000000,5,0.673035030,64000512.000000000,64000512.000000000,125001.000000000,125001.000000000,125001.000000000,125001.000000000,ok
baseline,1024,1000000,1,1.352898581,128001024.000000000,128001024.000000000,125001.000000000,125001.000000000,125001.000000000,125001.000000000,ok
baseline,1024,1000000,2,1.359107855,128001024.000000000,128001024.000000000,125001.000000000,125001.000000000,125001.000000000,125001.000000000,ok
baseline,1024,1000000,3,1.342795587,128001024.000000000,128001024.000000000,125001.000000000,125001.000000000,125001.000000000,125001.000000000,ok
baseline,1024,1000000,4,1.351418216,128001024.000000000,128001024.000000000,125001.000000000,125001.000000000,125001.000000000,125001.000000000,ok
baseline,1024,1000000,5,1.343034413,128001024.000000000,128001024.000000000,125001.000000000,125001.000000000,125001.000000000,125001.000000000,ok
baseline,2048,1000000,1,2.681252662,256002048.000000000,256002048.000000000,125001.000000000,125001.000000000,125001.000000000,125001.000000000,ok
baseline,2048,1000000,2,2.684034265,256002048.000000000,256002048.000000000,125001.000000000,125001.000000000,125001.000000000,125001.000000000,ok
baseline,2048,1000000,3,2.682844989,256002048.000000000,256002048.000000000,125001.000000000,125001.000000000,125001.000000000,125001.000000000,ok
baseline,2048,1000000,4,2.695985832,256002048.000000000,256002048.000000000,125001.000000000,125001.000000000,125001.000000000,125001.000000000,ok
baseline,2048,1000000,5,2.684129326,256002048.000000000,256002048.000000000,125001.000000000,125001.000000000,125001.000000000,125001.000000000,ok
baseline,4096,1000000,1,5.393834656,512004096.000000000,512004096.000000000,125001.000000000,125001.000000000,125001.000000000,125001.000000000,ok
baseline,4096,1000000,2,5.369951124,512004096.000000000,512004096.000000000,125001.000000000,125001.000000000,125001.000000000,125001.000000000,ok
baseline,4096,1000000,3,5.395477496,512004096.000000000,512004096.000000000,125001.000000000,125001.000000000,125001.000000000,125001.000000000,ok
baseline,4096,1000000,4,5.395395264,512004096.000000000,512004096.000000000,125001.000000000,125001.000000000,125001.000000000,125001.000000000,ok
baseline,4096,1000000,5,5.361162462,512004096.000000000,512004096.000000000,125001.000000000,125001.000000000,125001.000000000,125001.000000000,ok
baseline,8192,1000000,1,10.779028405,1024008192.000000000,1024008192.000000000,125001.000000000,125001.000000000,125001.000000000,125001.000000000,ok
baseline,8192,1000000,2,10.826034434,1024008192.000000000,1024008192.000000000,125001.000000000,125001.000000000,125001.000000000,125001.000000000,ok
baseline,8192,1000000,3,10.727071568,1024008192.000000000,1024008192.000000000,125001.000000000,125001.000000000,125001.000000000,125001.000000000,ok
baseline,8192,1000000,4,10.799304558,1024008192.000000000,1024008192.000000000,125001.000000000,125001.000000000,125001.000000000,125001.000000000,ok
baseline,8192,1000000,5,10.778089073,1024008192.000000000,1024008192.000000000,125001.000000000,125001.000000000,125001.000000000,125001.000000000,ok
auto_vectorized,256,1000000,1,0.063618790,32000256.000000000,32000256.000000000,125001.000000000,125001.000000000,125001.000000000,125001.000000000,ok
auto_vectorized,256,1000000,2,0.063458154,32000256.000000000,32000256.000000000,125001.000000000,125001.000000000,125001.000000000,125001.000000000,ok
auto_vectorized,256,1000000,3,0.063530423,32000256.000000000,32000256.000000000,125001.000000000,125001.000000000,125001.000000000,125001.000000000,ok
auto_vectorized,256,1000000,4,0.063344761,32000256.000000000,32000256.000000000,125001.000000000,125001.000000000,125001.000000000,125001.000000000,ok
auto_vectorized,256,1000000,5,0.063529786,32000256.000000000,32000256.000000000,125001.000000000,125001.000000000,125001.000000000,125001.000000000,ok
auto_vectorized,512,1000000,1,0.133477026,64000512.000000000,64000512.000000000,125001.000000000,125001.000000000,125001.000000000,125001.000000000,ok
auto_vectorized,512,1000000,2,0.132391046,64000512.000000000,64000512.000000000,125001.000000000,125001.000000000,125001.000000000,125001.000000000,ok
auto_vectorized,512,1000000,3,0.133398531,64000512.000000000,64000512.000000000,125001.000000000,125001.000000000,125001.000000000,125001.000000000,ok
auto_vectorized,512,1000000,4,0.132373323,64000512.000000000,64000512.000000000,125001.000000000,125001.000000000,125001.000000000,125001.000000000,ok
auto_vectorized,512,1000000,5,0.133832611,64000512.000000000,64000512.000000000,125001.000000000,125001.000000000,125001.000000000,125001.000000000,ok
auto_vectorized,1024,1000000,1,0.258954879,128001024.000000000,128001024.000000000,125001.000000000,125001.000000000,125001.000000000,125001.000000000,ok
auto_vectorized,1024,1000000,2,0.259335178,128001024.000000000,128001024.000000000,125001.000000000,125001.000000000,125001.000000000,125001.000000000,ok
auto_vectorized,1024,1000000,3,0.257850327,128001024.000000000,128001024.000000000,125001.000000000,125001.000000000,125001.000000000,125001.000000000,ok
auto_vectorized,1024,1000000,4,0.260817924,128001024.000000000,128001024.000000000,125001.000000000,125001.000000000,125001.000000000,125001.000000000,ok
auto_vectorized,1024,1000000,5,0.257630360,128001024.000000000,128001024.000000000,125001.000000000,125001.000000000,125001.000000000,125001.000000000,ok
auto_vectorized,2048,1000000,1,0.509033116,256002048.000000000,256002048.000000000,125001.000000000,125001.000000000,125001.000000000,125001.000000000,ok
auto_vectorized,2048,1000000,2,0.512934934,256002048.000000000,256002048.000000000,125001.000000000,125001.000000000,125001.000000000,125001.000000000,ok
auto_vectorized,2048,1000000,3,0.509137917,256002048.000000000,256002048.000000000,125001.000000000,125001.000000000,125001.000000000,125001.000000000,ok
auto_vectorized,2048,1000000,4,0.511810070,256002048.000000000,256002048.000000000,125001.000000000,125001.000000000,125001.000000000,125001.000000000,ok
auto_vectorized,2048,1000000,5,0.509330683,256002048.000000000,256002048.000000000,125001.000000000,125001.000000000,125001.000000000,125001.000000000,ok
auto_vectorized,4096,1000000,1,1.794951337,512004096.000000000,512004096.000000000,125001.000000000,125001.000000000,125001.000000000,125001.000000000,ok
auto_vectorized,4096,1000000,2,1.809637647,512004096.000000000,512004096.000000000,125001.000000000,125001.000000000,125001.000000000,125001.000000000,ok
auto_vectorized,4096,1000000,3,1.800740273,512004096.000000000,512004096.000000000,125001.000000000,125001.000000000,125001.000000000,125001.000000000,ok
auto_vectorized,4096,1000000,4,1.793809855,512004096.000000000,512004096.000000000,125001.000000000,125001.000000000,125001.000000000,125001.000000000,ok
auto_vectorized,4096,1000000,5,1.837975230,512004096.000000000,512004096.000000000,125001.000000000,125001.000000000,125001.000000000,125001.000000000,ok
auto_vectorized,8192,1000000,1,3.620076179,1024008192.000000000,1024008192.000000000,125001.000000000,125001.000000000,125001.000000000,125001.000000000,ok
auto_vectorized,8192,1000000,2,3.602107734,1024008192.000000000,1024008192.000000000,125001.000000000,125001.000000000,125001.000000000,125001.000000000,ok
auto_vectorized,8192,1000000,3,3.608676905,1024008192.000000000,1024008192.000000000,125001.000000000,125001.000000000,125001.000000000,125001.000000000,ok
auto_vectorized,8192,1000000,4,3.610372702,1024008192.000000000,1024008192.000000000,125001.000000000,125001.000000000,125001.000000000,125001.000000000,ok
auto_vectorized,8192,1000000,5,3.606834771,1024008192.000000000,1024008192.000000000,125001.000000000,125001.000000000,125001.000000000,125001.000000000,ok
