case,variant,threads,run,n,seconds,checksum,aux
case_a,original,1,1,12000000,0.035393000,0.562500000000,0.000000000000
case_a,parallel,1,1,12000000,0.115814000,0.562500000000,0.000000000000
case_a,parallel,1,2,12000000,0.092672000,0.562500000000,0.000000000000
case_a,parallel,1,3,12000000,0.100346000,0.562500000000,0.000000000000
case_a,parallel,1,4,12000000,0.103782000,0.562500000000,0.000000000000
case_a,parallel,1,5,12000000,0.097342000,0.562500000000,0.000000000000
case_a,parallel,2,1,12000000,0.050252000,0.562500000000,0.000000000000
case_a,parallel,2,2,12000000,0.050514000,0.562500000000,0.000000000000
case_a,parallel,2,3,12000000,0.048535000,0.562500000000,0.000000000000
case_a,parallel,2,4,12000000,0.049701000,0.562500000000,0.000000000000
case_a,parallel,2,5,12000000,0.054088000,0.562500000000,0.000000000000
case_a,parallel,4,1,12000000,0.034670000,0.562500000000,0.000000000000
case_a,parallel,4,2,12000000,0.029802000,0.562500000000,0.000000000000
case_a,parallel,4,3,12000000,0.030963000,0.562500000000,0.000000000000
case_a,parallel,4,4,12000000,0.030970000,0.562500000000,0.000000000000
case_a,parallel,4,5,12000000,0.031704000,0.562500000000,0.000000000000
case_a,parallel,8,1,12000000,0.022131000,0.562500000000,0.000000000000
case_a,parallel,8,2,12000000,0.024189000,0.562500000000,0.000000000000
case_a,parallel,8,3,12000000,0.026287000,0.562500000000,0.000000000000
case_a,parallel,8,4,12000000,0.019439000,0.562500000000,0.000000000000
case_a,parallel,8,5,12000000,0.017782000,0.562500000000,0.000000000000
case_b,original,1,1,10000000,0.022938000,286773264.832031250000,12.421875000000
case_b,parallel,1,1,10000000,0.026340000,286773264.832031250000,12.421875000000
case_b,parallel,1,2,10000000,0.025277000,286773264.832031250000,12.421875000000
case_b,parallel,1,3,10000000,0.024573000,286773264.832031250000,12.421875000000
case_b,parallel,1,4,10000000,0.024880000,286773264.832031250000,12.421875000000
case_b,parallel,1,5,10000000,0.025628000,286773264.832031250000,12.421875000000
case_b,parallel,2,1,10000000,0.018521000,286773264.832031250000,12.421875000000
case_b,parallel,2,2,10000000,0.018653000,286773264.832031250000,12.421875000000
case_b,parallel,2,3,10000000,0.019452000,286773264.832031250000,12.421875000000
case_b,parallel,2,4,10000000,0.019419000,286773264.832031250000,12.421875000000
case_b,parallel,2,5,10000000,0.019672000,286773264.832031250000,12.421875000000
case_b,parallel,4,1,10000000,0.018265000,286773264.832031250000,12.421875000000
case_b,parallel,4,2,10000000,0.017899000,286773264.832031250000,12.421875000000
case_b,parallel,4,3,10000000,0.016203000,286773264.832031250000,12.421875000000
case_b,parallel,4,4,10000000,0.016837000,286773264.832031250000,12.421875000000
case_b,parallel,4,5,10000000,0.018493000,286773264.832031250000,12.421875000000
